sample_order_vec,region_name_clean,region_name_orig,date_string
1,Shelaidaha_01302010_15_n,Shelaidaha_01302010_15,01302019
1,Shelaidaha_02082011_15_n,Shelaidaha_02082011_15,01302019
1,Shelaidaha_12192015_15_n,Shelaidaha_12192015_15,01302019
1,Shelaidaha_01022016_15_n,Shelaidaha_01022016_15,01302019
1,Shelaidaha_11082016_15_n,Shelaidaha_11082016_15,01302019
1,Shelaidaha_11272016_15_n,Shelaidaha_11272016_15,01302019
1,Shelaidaha_12212016_15_n,Shelaidaha_12212016_15,01302019
1,Shelaidaha_12302016_15_n,Shelaidaha_12302016_15,01302019
1,Shelaidaha_12022017_15_n,Shelaidaha_12022017_15,01302019
1,Shelaidaha_12152017_15_n,Shelaidaha_12152017_15,01302019
1,Shelaidaha_02052018_15_n,Shelaidaha_02052018_15,01302019
1,Shelaidaha_01302019_15_n,Shelaidaha_01302019_15,01302019
1,Shelaidaha_01242020_15_n,Shelaidaha_01242020_15,01302019
1,Shelaidaha_04062020_15_n,Shelaidaha_04062020_15,01302019
1,Shelaidaha_12042020_15_n,Shelaidaha_12042020_15,01302019
1,Shelaidaha_03222021_15_n,Shelaidaha_03222021_15,01302019
1,Shelaidaha_04132021_15_n,Shelaidaha_04132021_15,01302019
2,Tangon_02202018_7_b,Tangon_02202018_7_b,12032016
2,Tangon_03042018_7_b,Tangon_03042018_7_b,12032016
2,Tangon_03152018_7_b,Tangon_03152018_7_b,12032016
2,Tangon_04132021_7_b,Tangon_04132021_7_b,12032016
3,Bagmara_12052015_4_b,Bagmara_12052015_4_b,11082016
3,Bagmara_02022016_4_b,Bagmara_02022016_4_b,11082016
3,Bagmara_04142016_4_b,Bagmara_04142016_4_b,11082016
3,Bagmara_11082016_4_b,Bagmara_11082016_4_b,11082016
3,Bagmara_02012017_4_b,Bagmara_02012017_4_b,11082016
3,Bagmara_01312018_4_b,Bagmara_01312018_4_b,11082016
3,Bagmara_02052018_4_b,Bagmara_02052018_4_b,11082016
3,Bagmara_02072018_4_b,Bagmara_02072018_4_b,11232020
3,Bagmara_11232020_4_b,Bagmara_11232020_4_b,11232020
4,wMirzanagar_03252007_38_n,w_Mirzanagar_03252007_38,05122020
4,wMirzanagar_12142007_38_n,w_Mirzanagar_12142007_38,05122020
4,wMirzanagar_12152010_38_n,w_Mirzanagar_12152010_38,05122020
4,wMirzanagar_03142012_38_n,w_Mirzanagar_03142012_38,05122020
4,wMirzanagar_02052013_38_n,w_Mirzanagar_02052013_38,05122020
4,wMirzanagar_04112014_38_n,w_Mirzanagar_04112014_38,05122020
4,wMirzanagar_04152014_38_n,w_Mirzanagar_04152014_38,05122020
4,wMirzanagar_05042014_38_n,w_Mirzanagar_05042014_38,05122020
4,wMirzanagar_11092015_38_b,w_Mirzanagar_11092015_38_b,05122020
4,wMirzanagar_11232015_38_b,w_Mirzanagar_11232015_38_b,05122020
4,wMirzanagar_01022016_38_b,w_Mirzanagar_01022016_38_b,05122020
4,wMirzanagar_01132016_38_n,w_Mirzanagar_01132016_38,05122020
4,wMirzanagar_02262016_38_b,w_Mirzanagar_02262016_38_b,05122020
4,wMirzanagar_03262016_38_b,w_Mirzanagar_03262016_38_b,05122020
4,wMirzanagar_11082016_38_b,w_Mirzanagar_11082016_38_b,05122020
4,wMirzanagar_11252016_38_n,w_Mirzanagar_11252016_38,05122020
4,wMirzanagar_12212016_38_n,w_Mirzanagar_12212016_38,05122020
4,wMirzanagar_01092017_38_n,w_Mirzanagar_01092017_38,05122020
4,wMirzanagar_02252017_38_n,w_Mirzanagar_02252017_38,05122020
4,wMirzanagar_12152017_38_n,w_Mirzanagar_12152017_38,05122020
4,wMirzanagar_12242017_38_b,w_Mirzanagar_12242017_38_b,05122020
4,wMirzanagar_03042018_38_n,w_Mirzanagar_03042018_38,05122020
4,wMirzanagar_03152018_38_b,w_Mirzanagar_03152018_38_b,05122020
4,wMirzanagar_03152018_38_n,w_Mirzanagar_03152018_38,05122020
4,wMirzanagar_10012018_38_n,w_Mirzanagar_10012018_38,05122020
4,wMirzanagar_04182019_38_n,w_Mirzanagar_04182019_38,05122020
4,wMirzanagar_05122020_38_b,w_Mirzanagar_05122020_38_b,05122020
4,wMirzanagar_12042020_38_b,w_Mirzanagar_12042020_38_b,05122020
4,wMirzanagar_04132021_38_b,w_Mirzanagar_04132021_38_b,05122020
4,wMirzanagar_11072021_38_n,w_Mirzanagar_11072021_38,05122020
5,Basuri_02192001_2_n,Basuri_02192001_2,02192001
5,Basuri_03072013_2_b,Basuri_03072013_2_b,02202018
5,Basuri_04272013_2_b,Basuri_04272013_2_b,02202018
5,Basuri_04232014_2_b,Basuri_04232014_2_b,02202018
5,Basuri_05022014_2_b,Basuri_05022014_2_b,02202018
5,Basuri_05142015_2_b,Basuri_05142015_2_b,02202018
5,Basuri_11252015_2_b,Basuri_11252015_2_b,02202018
5,Basuri_12282015_2_b,Basuri_12282015_2_b,02202018
5,Basuri_01132016_2_b,Basuri_01132016_2_b,02202018
5,Basuri_01162016_2_b,Basuri_01162016_2_b,02202018
5,Basuri_02172016_2_b,Basuri_02172016_2_b,02202018
5,Basuri_02222016_2_b,Basuri_02222016_2_b,02202018
5,Basuri_03122016_2_b,Basuri_03122016_2_b,02202018
5,Basuri_10212016_2_b,Basuri_10212016_2_b,02202018
5,Basuri_12032016_2_b,Basuri_12032016_2_b,02202018
5,Basuri_01022017_2_b,Basuri_01022017_2_b,02202018
5,Basuri_02262017_2_b,Basuri_02262017_2_b,02202018
5,Basuri_02272017_2_b,Basuri_02272017_2_b,02202018
5,Basuri_03212017_2_b,Basuri_03212017_2_b,02222016
5,Basuri_01252018_2_n,Basuri_01252018_2,02222016
5,Basuri_01282018_2_n,Basuri_01282018_2,02222016
5,Basuri_02202018_2_n,Basuri_02202018_2,02222016
5,Basuri_03042018_2_n,Basuri_03042018_2,02222016
5,Basuri_03172018_2_n,Basuri_03172018_2,02262017
5,Basuri_11222018_2_b,Basuri_11222018_2_b,02262017
5,Basuri_12012018_2_b,Basuri_12012018_2_b,02262017
5,Basuri_01132019_2_b,Basuri_01132019_2_b,02262017
5,Basuri_02112019_2_b,Basuri_02112019_2_b,02262017
5,Basuri_03092019_2_n,Basuri_03092019_2,02262017
5,Basuri_11172019_2_b,Basuri_11172019_2_b,02262017
5,Basuri_02012020_2_n,Basuri_02012020_2,02262017
5,Basuri_05112020_2_b,Basuri_05112020_2_b,02272017
6,Bahirchar_12142007_8_n,Bahirchar_12142007_8,12162019
6,Bahirchar_12152010_8_n,Bahirchar_12152010_8,12162019
6,Bahirchar_01172011_8_tt,Bahirchar_01172011_8_tt,12162019
6,Bahirchar_05142011_8_n,Bahirchar_05142011_8,12162019
6,Bahirchar_11042011_8_n,Bahirchar_11042011_8,12162019
6,Bahirchar_05012013_8_B,Bahirchar_05012013_8_B,12162019
6,Bahirchar_06042013_8_n,Bahirchar_06042013_8,12162019
6,Bahirchar_04152014_8_n,Bahirchar_04152014_8,12162019
6,Bahirchar_10012014_8_n,Bahirchar_10012014_8,12162019
6,Bahirchar_01262015_8_n,Bahirchar_01262015_8,12162019
6,Bahirchar_11092015_8_n,Bahirchar_11092015_8,12162019
6,Bahirchar_11232015_8_tt,Bahirchar_11232015_8_tt,12162019
6,Bahirchar_12082015_8_n,Bahirchar_12082015_8,12162019
6,Bahirchar_01022016_8_n,Bahirchar_01022016_8,12162019
6,Bahirchar_01132016_8_b,Bahirchar_01132016_8_b,12162019
6,Bahirchar_02262016_8_b,Bahirchar_02262016_8_b,12162019
6,Bahirchar_10202016_8_b,Bahirchar_10202016_8_b,12162019
6,Bahirchar_12212016_8_b,Bahirchar_12212016_8_b,12162019
6,Bahirchar_01092017_8_n,Bahirchar_01092017_8,12162019
6,Bahirchar_02072017_8_n,Bahirchar_02072017_8,12162019
6,Bahirchar_02252017_8_n,Bahirchar_02252017_8,12162019
6,Bahirchar_12242017_8_n,Bahirchar_12242017_8,12162019
6,Bahirchar_01092018_8_n,Bahirchar_01092018_8,12162019
6,Bahirchar_01242018_8_n,Bahirchar_01242018_8,12162019
6,Bahirchar_03042018_8_b,Bahirchar_03042018_8_b,12162019
6,Bahirchar_03152018_8_n,Bahirchar_03152018_8,12162019
6,Bahirchar_12082018_8_n,Bahirchar_12082018_8,12162019
6,Bahirchar_05052019_8_b,Bahirchar_05052019_8_b,12162019
6,Bahirchar_11162019_8_n,Bahirchar_11162019_8,12162019
6,Bahirchar_12162019_8_b,Bahirchar_12162019_8_b,12212016
6,Bahirchar_03292020_8_b,Bahirchar_03292020_8_b,12212016
6,Bahirchar_12042020_8_n,Bahirchar_12042020_8,12212016
6,Bahirchar_04132021_8_b,Bahirchar_04132021_8_b,12212016
7,Goaria_02142013_1_b,Goaria_02142013_1_b,02012017
7,Goaria_03292014_1_b,Goaria_03292014_1_b,02012017
7,Goaria_03302014_1_b,Goaria_03302014_1_b,02012017
7,Goaria_04142016_1_b,Goaria_04142016_1_b,02142013
7,Goaria_10132016_1_b,Goaria_10132016_1_b,03292014
7,Goaria_11022016_1_b,Goaria_11022016_1_b,03292014
7,Goaria_11082016_1_b,Goaria_11082016_1_b,03292014
7,Goaria_02012017_1_b,Goaria_02012017_1_b,03292014
8,Shelaidaha_11082016_49_n,Shelaidaha_11082016_49,12152017
8,Shelaidaha_11272016_49_n,Shelaidaha_11272016_49,12152017
8,Shelaidaha_12212016_49_n,Shelaidaha_12212016_49,12152017
8,Shelaidaha_12302016_49_n,Shelaidaha_12302016_49,12152017
8,Shelaidaha_01302019_49_n,Shelaidaha_01302019_49,12152017
8,Shelaidaha_12042020_49_n,Shelaidaha_12042020_49,12152017
8,Shelaidaha_03222021_49_n,Shelaidaha_03222021_49,12152017
9,Motinar_11142010_5_n,Motinar_11142010_5,12182010
9,Motinar_12182010_5_b,Motinar_12182010_5_b,12182010
10,Basuri_02192001_1_n,Basuri_02192001_1,01022017
10,Basuri_03072013_1_b,Basuri_03072013_1_b,01022017
10,Basuri_03252013_1_b,Basuri_03252013_1_b,01022017
10,Basuri_04272013_1_b,Basuri_04272013_1_b,01022017
10,Basuri_04232014_1_b,Basuri_04232014_1_b,01022017
10,Basuri_05022014_1_b,Basuri_05022014_1_b,01022017
10,Basuri_05142015_1_b,Basuri_05142015_1_b,01022017
10,Basuri_11252015_1_b,Basuri_11252015_1_b,01132016
10,Basuri_12282015_1_b,Basuri_12282015_1_b,01132016
10,Basuri_01132016_1_b,Basuri_01132016_1_b,01132016
10,Basuri_01162016_1_b,Basuri_01162016_1_b,01132016
10,Basuri_02172016_1_b,Basuri_02172016_1_b,01132016
10,Basuri_02222016_1_b,Basuri_02222016_1_b,01132019
10,Basuri_03122016_1_b,Basuri_03122016_1_b,01132019
10,Basuri_10212016_1_b,Basuri_10212016_1_b,01132019
10,Basuri_12032016_1_b,Basuri_12032016_1_b,01132019
10,Basuri_01022017_1_b,Basuri_01022017_1_b,01132019
10,Basuri_02262017_1_b,Basuri_02262017_1_b,01132019
10,Basuri_02272017_1_b,Basuri_02272017_1_b,01162016
10,Basuri_03212017_1_b,Basuri_03212017_1_b,01162016
10,Basuri_01252018_1_n,Basuri_01252018_1,01162016
10,Basuri_01282018_1_n,Basuri_01282018_1,01162016
10,Basuri_02202018_1_b,Basuri_02202018_1_b,01162016
10,Basuri_03042018_1_n,Basuri_03042018_1,01252018
10,Basuri_03172018_1_n,Basuri_03172018_1,01252018
10,Basuri_11222018_1_n,Basuri_11222018_1,01252018
10,Basuri_12012018_1_n,Basuri_12012018_1,01252018
10,Basuri_01132019_1_b,Basuri_01132019_1_b,01252018
10,Basuri_02112019_1_b,Basuri_02112019_1_b,01252018
10,Basuri_03092019_1_n,Basuri_03092019_1,01252018
10,Basuri_11172019_1_n,Basuri_11172019_1,01252018
10,Basuri_02012020_1_n,Basuri_02012020_1,01252018
10,Basuri_05112020_1_b,Basuri_05112020_1_b,01252018
11,Bondhu_11142009_18_n,Bondhu_11142009_18,01142016
11,Bondhu_01172011_18_n,Bondhu_01172011_18,01142016
11,Bondhu_05142011_18_n,Bondhu_05142011_18,01142016
11,Bondhu_11042011_18_n,Bondhu_11042011_18,01142016
11,Bondhu_05012013_18_n,Bondhu_05012013_18,01142016
11,Bondhu_04152014_18_n,Bondhu_04152014_18,01142016
11,Bondhu_01262015_18_n,Bondhu_01262015_18,01142016
11,Bondhu_11232015_18_n,Bondhu_11232015_18,01142016
11,Bondhu_11282015_18_n,Bondhu_11282015_18,01142016
11,Bondhu_12082015_18_n,Bondhu_12082015_18,01142016
11,Bondhu_01012016_18_n,Bondhu_01012016_18,01142016
11,Bondhu_01142016_18_n,Bondhu_01142016_18,01142016
11,Bondhu_04082016_18_n,Bondhu_04082016_18,01142016
11,Bondhu_10202016_18_n,Bondhu_10202016_18,01142016
11,Bondhu_11212016_18_b,Bondhu_11212016_18_b,01142016
11,Bondhu_12212016_18_n,Bondhu_12212016_18,01142016
11,Bondhu_01092017_18_n,Bondhu_01092017_18,01142016
11,Bondhu_02072017_18_n,Bondhu_02072017_18,01142016
11,Bondhu_01092018_18_b,Bondhu_01092018_18_b,01142016
11,Bondhu_01242018_18_n,Bondhu_01242018_18,01142016
11,Bondhu_03042018_18_n,Bondhu_03042018_18,01142016
11,Bondhu_12082018_18_n,Bondhu_12082018_18,01142016
11,Bondhu_11162019_18_n,Bondhu_11162019_18,01142016
11,Bondhu_03292020_18_n,Bondhu_03292020_18,01142016
11,Bondhu_12042020_18_tt,Bondhu_12042020_18_tt,01142016
11,Bondhu_04132021_18_b,Bondhu_04132021_18_b,01142016
12,Shelaidaha_01022016_33_n,Shelaidaha_01022016_33,11082016
12,Shelaidaha_11082016_33_n,Shelaidaha_11082016_33,11082016
12,Shelaidaha_11272016_33_n,Shelaidaha_11272016_33,11082016
12,Shelaidaha_12212016_33_n,Shelaidaha_12212016_33,11082016
12,Shelaidaha_12302016_33_n,Shelaidaha_12302016_33,11082016
12,Shelaidaha_12022017_33_n,Shelaidaha_12022017_33,11082016
12,Shelaidaha_12152017_33_n,Shelaidaha_12152017_33,11272016
12,Shelaidaha_02052018_33_n,Shelaidaha_02052018_33,11272016
12,Shelaidaha_01302019_33_n,Shelaidaha_01302019_33,11272016
12,Shelaidaha_01242020_33_n,Shelaidaha_01242020_33,11272016
12,Shelaidaha_12042020_33_n,Shelaidaha_12042020_33,11272016
12,Shelaidaha_03222021_33_n,Shelaidaha_03222021_33,11272016
12,Shelaidaha_04132021_33_n,Shelaidaha_04132021_33,11272016
13,eKoladi_11232020_3_b,Koladi_E_11232020_3_b,11232020
13,eKoladi_03222021_3_b,Koladi_E_03222021_3_b,11232020
14,eMirzanagar_03252007_5_n,eMirzanagar_03252007_5,11272016
14,eMirzanagar_12142007_5_n,eMirzanagar_12142007_5,11272016
14,eMirzanagar_12152010_5_n,eMirzanagar_12152010_5,11272016
14,eMirzanagar_03142012_5_n,eMirzanagar_03142012_5,11272016
14,eMirzanagar_02052013_5_n,eMirzanagar_02052013_5,11272016
14,eMirzanagar_04112014_5_n,eMirzanagar_04112014_5,11272016
14,eMirzanagar_11092015_5_n,eMirzanagar_11092015_5,11272016
14,eMirzanagar_11232015_5_n,eMirzanagar_11232015_5,11272016
14,eMirzanagar_11292015_5_d,eMirzanagar_11292015_5_d,11272016
14,eMirzanagar_11302015_5_x,eMirzanagar_11302015_5_x,11272016
14,eMirzanagar_12192015_5_x,eMirzanagar_12192015_5_x,11272016
14,eMirzanagar_01022016_5_x,eMirzanagar_01022016_5_x,11272016
14,eMirzanagar_01132016_5_x,eMirzanagar_01132016_5_x,11272016
14,eMirzanagar_03262016_5_x,eMirzanagar_03262016_5_x,11272016
14,eMirzanagar_11082016_5_x,eMirzanagar_11082016_5_x,11272016
14,eMirzanagar_11252016_5_x,eMirzanagar_11252016_5_x,11272016
14,eMirzanagar_11272016_5_u,eMirzanagar_11272016_5_u,11272016
14,eMirzanagar_12212016_5_x,eMirzanagar_12212016_5_x,11272016
14,eMirzanagar_01092017_5_u,eMirzanagar_01092017_5_u,11272016
14,eMirzanagar_02252017_5_u,eMirzanagar_02252017_5_u,11272016
14,eMirzanagar_12152017_5_x,eMirzanagar_12152017_5_x,11272016
14,eMirzanagar_12242017_5_x,eMirzanagar_12242017_5_x,11272016
14,eMirzanagar_03042018_5_x,eMirzanagar_03042018_5_x,11272016
14,eMirzanagar_03152018_5_x,eMirzanagar_03152018_5_x,11272016
14,eMirzanagar_10012018_5_x,eMirzanagar_10012018_5_x,11272016
14,eMirzanagar_04182019_5_u,eMirzanagar_04182019_5_u,11272016
14,eMirzanagar_12042020_5_d_b,eMirzanagar_12042020_5_d_b,11272016
14,eMirzanagar_04132021_5_d,eMirzanagar_04132021_5_d,11272016
14,eMirzanagar_09112021_5_x,eMirzanagar_09112021_5_x,11272016
14,eMirzanagar_11072021_5_x,eMirzanagar_11072021_5_x,11272016
15,Sardah_05012013_7_n,Sardah_05012013_7,11252018
15,Sardah_02092014_7_n,Sardah_02092014_7,11252018
15,Sardah_05022014_7_n,Sardah_05022014_7,11252018
15,Sardah_05142015_7_n,Sardah_05142015_7,11252018
15,Sardah_12152015_7_b,Sardah_12152015_7_b,11252018
15,Sardah_12192015_7_b,Sardah_12192015_7_b,12032016
15,Sardah_01012016_7_b,Sardah_01012016_7_b,12032016
15,Sardah_01022016_7_b,Sardah_01022016_7_b,12032016
15,Sardah_12032016_7_b,Sardah_12032016_7_b,12032016
15,Sardah_02072017_7_b,Sardah_02072017_7_b,12032016
15,Sardah_02202018_7_b,Sardah_02202018_7_b,12032016
15,Sardah_03042018_7_b,Sardah_03042018_7_b,12032016
15,Sardah_03152018_7_b,Sardah_03152018_7_b,12032016
15,Sardah_11222018_7_b,Sardah_11222018_7_b,12032016
15,Sardah_11252018_7_b,Sardah_11252018_7_b,12032016
15,Sardah_04132021_7_b,Sardah_04132021_7_b,12032016
16,Bondhu_11042011_54_n,Bondhu_11042011_54,11162019
16,Bondhu_01262015_54_n,Bondhu_01262015_54,11162019
16,Bondhu_11232015_54_n,Bondhu_11232015_54,11162019
16,Bondhu_11282015_54_n,Bondhu_11282015_54,11162019
16,Bondhu_12082015_54_n,Bondhu_12082015_54,11162019
16,Bondhu_01012016_54_n,Bondhu_01012016_54,11162019
16,Bondhu_01142016_54_n,Bondhu_01142016_54,11162019
16,Bondhu_04082016_54_n,Bondhu_04082016_54,11162019
16,Bondhu_11212016_54_n,Bondhu_11212016_54,11162019
16,Bondhu_12212016_54_n,Bondhu_12212016_54,11162019
16,Bondhu_01092017_54_n,Bondhu_01092017_54,11162019
16,Bondhu_02072017_54_n,Bondhu_02072017_54,11162019
16,Bondhu_01092018_54_n,Bondhu_01092018_54,11162019
16,Bondhu_01242018_54_n,Bondhu_01242018_54,11162019
16,Bondhu_03042018_54_n,Bondhu_03042018_54,11162019
16,Bondhu_12082018_54_n,Bondhu_12082018_54,11162019
16,Bondhu_11162019_54_n,Bondhu_11162019_54,11162019
16,Bondhu_12042020_54_n,Bondhu_12042020_54,11162019
16,Bondhu_04132021_54_n,Bondhu_04132021_54,11162019
17,RNPP_01262015_3_tt,RNPP_01262015_3_tt,11162019
17,RNPP_11232015_3_n,RNPP_11232015_3,11162019
17,RNPP_11282015_3_b,RNPP_11282015_3_b,11162019
17,RNPP_12082015_3_n,RNPP_12082015_3,11162019
17,RNPP_01022016_3_n,RNPP_01022016_3,11162019
17,RNPP_01132016_3_n,RNPP_01132016_3,11162019
17,RNPP_10202016_3_tt,RNPP_10202016_3_tt,11162019
17,RNPP_11162019_3_b,RNPP_11162019_3_b,11232015
17,RNPP_12162019_3_b,RNPP_12162019_3_b,11232015
17,RNPP_03292020_3_b,RNPP_03292020_3_b,11232015
17,RNPP_05122020_3_b,RNPP_05122020_3_b,11232015
17,RNPP_12042020_3_n,RNPP_12042020_3,11232015
18,Basuri_01252018_13_b,Basuri_01252018_13_b,01282018
18,Basuri_01282018_13_n,Basuri_01282018_13,01282018
18,Basuri_02202018_13_n,Basuri_02202018_13,01282018
18,Basuri_03042018_13_b,Basuri_03042018_13_b,01282018
18,Basuri_03172018_13_b,Basuri_03172018_13_b,01282018
18,Basuri_05112020_13_b,Basuri_05112020_13_b,01282018
19,eMirzanagar_03252007_27_n,eMirzanagar_03252007_27,11072021
19,eMirzanagar_12142007_27_n,eMirzanagar_12142007_27,11072021
19,eMirzanagar_12152010_27_n,eMirzanagar_12152010_27,11072021
19,eMirzanagar_03142012_27_n,eMirzanagar_03142012_27,11072021
19,eMirzanagar_02052013_27_n,eMirzanagar_02052013_27,11072021
19,eMirzanagar_04112014_27_n,eMirzanagar_04112014_27,11072021
19,eMirzanagar_11092015_27_n,eMirzanagar_11092015_27,11072021
19,eMirzanagar_11232015_27_n,eMirzanagar_11232015_27,11072021
19,eMirzanagar_11292015_27_u,eMirzanagar_11292015_27_u,11072021
19,eMirzanagar_11302015_27_d,eMirzanagar_11302015_27_d,11072021
19,eMirzanagar_12192015_27_u,eMirzanagar_12192015_27_u,11072021
19,eMirzanagar_01022016_27_u,eMirzanagar_01022016_27_u,11072021
19,eMirzanagar_01132016_27_x,eMirzanagar_01132016_27_x,11072021
19,eMirzanagar_03262016_27_u,eMirzanagar_03262016_27_u,11072021
19,eMirzanagar_11082016_27_x,eMirzanagar_11082016_27_x,11072021
19,eMirzanagar_11252016_27_u,eMirzanagar_11252016_27_u,11072021
19,eMirzanagar_11272016_27_u,eMirzanagar_11272016_27_u,11072021
19,eMirzanagar_12212016_27_x,eMirzanagar_12212016_27_x,11072021
19,eMirzanagar_01092017_27_d,eMirzanagar_01092017_27_d,11072021
19,eMirzanagar_02252017_27_u,eMirzanagar_02252017_27_u,11072021
19,eMirzanagar_12152017_27_x,eMirzanagar_12152017_27_x,11072021
19,eMirzanagar_12242017_27_x,eMirzanagar_12242017_27_x,11072021
19,eMirzanagar_03042018_27_x,eMirzanagar_03042018_27_x,11072021
19,eMirzanagar_03152018_27_u,eMirzanagar_03152018_27_u,11072021
19,eMirzanagar_10012018_27_u,eMirzanagar_10012018_27_u,11072021
19,eMirzanagar_04182019_27_u,eMirzanagar_04182019_27_u,11072021
19,eMirzanagar_12042020_27_u,eMirzanagar_12042020_27_u,11072021
19,eMirzanagar_04132021_27_d,eMirzanagar_04132021_27_d,11072021
19,eMirzanagar_09112021_27_x,eMirzanagar_09112021_27_x,11072021
19,eMirzanagar_11072021_27_d,eMirzanagar_11072021_27_d,11072021
20,Bahirchar_12142007_4_n,Bahirchar_12142007_4,11092015
20,Bahirchar_12152010_4_n,Bahirchar_12152010_4,11092015
20,Bahirchar_01172011_4_n,Bahirchar_01172011_4,11162019
20,Bahirchar_05142011_4_n,Bahirchar_05142011_4,11162019
20,Bahirchar_11042011_4_n,Bahirchar_11042011_4,11162019
20,Bahirchar_05012013_4_b,Bahirchar_05012013_4_b,11162019
20,Bahirchar_06042013_4_n,Bahirchar_06042013_4,11162019
20,Bahirchar_04152014_4_n,Bahirchar_04152014_4,11162019
20,Bahirchar_10012014_4_n,Bahirchar_10012014_4,11162019
20,Bahirchar_01262015_4_n,Bahirchar_01262015_4,11162019
20,Bahirchar_11092015_4_n,Bahirchar_11092015_4,11162019
20,Bahirchar_11232015_4_n,Bahirchar_11232015_4,11162019
20,Bahirchar_12082015_4_b,Bahirchar_12082015_4_b,11162019
20,Bahirchar_01022016_4_n,Bahirchar_01022016_4,11162019
20,Bahirchar_01132016_4_b,Bahirchar_01132016_4_b,11162019
20,Bahirchar_02262016_4_b,Bahirchar_02262016_4_b,11162019
20,Bahirchar_10202016_4_n,Bahirchar_10202016_4,11162019
20,Bahirchar_12212016_4_n,Bahirchar_12212016_4,11162019
20,Bahirchar_01092017_4_n,Bahirchar_01092017_4,11162019
20,Bahirchar_02072017_4_n,Bahirchar_02072017_4,11162019
20,Bahirchar_02252017_4_n,Bahirchar_02252017_4,11162019
20,Bahirchar_12242017_4_n,Bahirchar_12242017_4,11162019
20,Bahirchar_01092018_4_n,Bahirchar_01092018_4,11162019
20,Bahirchar_01242018_4_n,Bahirchar_01242018_4,11162019
20,Bahirchar_03042018_4_n,Bahirchar_03042018_4,11162019
20,Bahirchar_03152018_4_n,Bahirchar_03152018_4,11162019
20,Bahirchar_12082018_4_n,Bahirchar_12082018_4,11162019
20,Bahirchar_05052019_4_n,Bahirchar_05052019_4,11162019
20,Bahirchar_11162019_4_b,Bahirchar_11162019_4_b,11232015
20,Bahirchar_12162019_4_b,Bahirchar_12162019_4_b,11232015
20,Bahirchar_03292020_4_n,Bahirchar_03292020_4,11232015
20,Bahirchar_12042020_4_b,Bahirchar_12042020_4_b,11232015
20,Bahirchar_04132021_4_b,Bahirchar_04132021_4_b,11232015
21,Motinar_11142010_7_n,Motinar_11142010_7,12182010
21,Motinar_12182010_7_b,Motinar_12182010_7_b,12182010
22,Shelaidaha_01022016_36_n,Shelaidaha_01022016_36,11272016
22,Shelaidaha_11082016_36_n,Shelaidaha_11082016_36,11272016
22,Shelaidaha_11272016_36_n,Shelaidaha_11272016_36,11272016
22,Shelaidaha_12212016_36_n,Shelaidaha_12212016_36,11272016
22,Shelaidaha_12302016_36_n,Shelaidaha_12302016_36,11272016
22,Shelaidaha_12022017_36_n,Shelaidaha_12022017_36,11272016
22,Shelaidaha_12152017_36_n,Shelaidaha_12152017_36,11272016
22,Shelaidaha_01242020_36_n,Shelaidaha_01242020_36,11272016
22,Shelaidaha_12042020_36_n,Shelaidaha_12042020_36,11272016
22,Shelaidaha_03222021_36_n,Shelaidaha_03222021_36,11272016
22,Shelaidaha_04132021_36_n,Shelaidaha_04132021_36,11272016
23,Shelaidaha_01302010_6_n,Shelaidaha_01302010_6,12212016
23,Shelaidaha_02082011_6_n,Shelaidaha_02082011_6,12212016
23,Shelaidaha_02052013_6_n,Shelaidaha_02052013_6,12212016
23,Shelaidaha_02282013_6_n,Shelaidaha_02282013_6,12212016
23,Shelaidaha_12192015_6_n,Shelaidaha_12192015_6,12212016
23,Shelaidaha_01022016_6_n,Shelaidaha_01022016_6,12212016
23,Shelaidaha_03262016_6_n,Shelaidaha_03262016_6,12212016
23,Shelaidaha_11082016_6_n,Shelaidaha_11082016_6,12212016
23,Shelaidaha_11272016_6_n,Shelaidaha_11272016_6,12212016
23,Shelaidaha_12212016_6_n,Shelaidaha_12212016_6,12212016
23,Shelaidaha_12302016_6_n,Shelaidaha_12302016_6,12212016
23,Shelaidaha_12022017_6_n,Shelaidaha_12022017_6,12212016
23,Shelaidaha_12152017_6_n,Shelaidaha_12152017_6,12212016
23,Shelaidaha_02052018_6_n,Shelaidaha_02052018_6,12212016
23,Shelaidaha_03102018_6_n,Shelaidaha_03102018_6,12212016
23,Shelaidaha_10012018_6_n,Shelaidaha_10012018_6,12212016
23,Shelaidaha_01302019_6_n,Shelaidaha_01302019_6,12212016
23,Shelaidaha_01242020_6_n,Shelaidaha_01242020_6,12212016
23,Shelaidaha_04062020_6_n,Shelaidaha_04062020_6,12212016
23,Shelaidaha_12042020_6_n,Shelaidaha_12042020_6,12212016
23,Shelaidaha_03222021_6_n,Shelaidaha_03222021_6,12212016
23,Shelaidaha_04132021_6_n,Shelaidaha_04132021_6,12212016
24,Dhunchi_11182020_31_b,Dhunchi_11182020_31_b,11042018
24,Dhunchi_11232020_31_b,Dhunchi_11232020_31_b,11042018
24,Dhunchi_10312021_31_b,Dhunchi_10312021_31_b,11042018
25,Basuri_01252018_12_n,Basuri_01252018_12,01282018
25,Basuri_01282018_12_b,Basuri_01282018_12_b,01282018
25,Basuri_02202018_12_b,Basuri_02202018_12_b,01282018
25,Basuri_03042018_12_b,Basuri_03042018_12_b,01282018
25,Basuri_03172018_12_b,Basuri_03172018_12_b,01282018
25,Basuri_05112020_12_b,Basuri_05112020_12_b,01282018
